,"	Regional Hospital ",Facility_Name,"	Distance to Reg Hosp ",Maina...Facility.name,Fac.NAME,Admin1,Facility.name,Facility.type,Ownership,LL.source,Lat,Long,FacLong,FacLat,Source,geometry...longitude,geometry.latitude,UnitId,UnitType,UnitTypeName,TypeMainaOverGhana,FacilitySwitch,MainaSwitch,NewFacilityTypes,UnitTypeNaFac,LvlId,Region,CODE,NAME,COMMENT,CODE_1,NAME_1,NEAR_FID,NEAR_DIST,Facility_Name,Longitude,Latitude,geometry,Region,District,Town,facilityID,Xpert,dummy
166,Kumasi South Government Regional Hospital,Kuntenase Government District Hospital,0.159256,Kuntenase Government District Hospital,NA,Ashanti,Kuntenase Government District Hospital,District Hospital,MoH,GPS,6.53752,-1.47454,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kuntenase Government District Hospital,-1.47454,6.53752,c(-1.47454 6.53752),ASHANTI,BOSOMTWE,Kuntanase,2423,no,0
167,Kumasi South Government Regional Hospital,Kwabre Dist. Hos,0.21016,NA,Kwabre Dist. Hos,NA,NA,NA,NA,NA,NA,NA,-1.47695,6.83295,fac,c(-1.47694999975632,6.83294999957963),GHH00250,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011005000000000000,GHP011,250,Kwabre Dist. Hos,Asonomaso,6,Afigya-Sekyere,-1,-1,Kwabre Dist. Hos,-1.47695,6.83295,c(-1.47694999975632  6.83294999957963),ASHANTI,KWABRE EAST,,1488,no,0
184,Kumasi South Government Regional Hospital,Mampong Government Hospital,0.444256,Mampong Government Hospital,NA,Ashanti,Mampong Government Hospital,Hospital,MoH,Combination,7.056089,-1.398981,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mampong Government Hospital,-1.398981,7.056089,c(-1.398981 7.056089),ASHANTI,MAMPONG MUNICIPAL,Mampong(Ashanti),2428,no,0
187,Kumasi South Government Regional Hospital,Mankranso Hospital,0.325004,Mankranso Hospital,Mankranso Hosp.,Ashanti,Mankranso Hospital,Hospital,MoH,GPS,6.82076,-1.86278,-1.86278,6.82076,both,c(-1.86278000036027,6.82076000003464),GHH00307,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011009000000000000,GHP011,307,Mankranso Hosp.,Mankranso,10,Ahafo-Ano South,-1,-1,Mankranso Hospital,-1.86278,6.82076,c(-1.86278000036027  6.82076000003464),ASHANTI,AHAFO ANO SOUTH WEST,,1517,no,0
191,Kumasi South Government Regional Hospital,Maternal and Child Health Hospital,0.0574452,Maternal and Child Health Hospital,NA,Ashanti,Maternal and Child Health Hospital,Hospital,MoH,GPS,6.69316,-1.62531,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maternal and Child Health Hospital,-1.62531,6.69316,c(-1.62531 6.69316),ASHANTI,KUMASI METROPOLITAN,,2432,no,0
192,Tamale Regional Hospital,Mathias Hospital,1.18364,Mathias Hospital,Mathias Hospital,Brong Ahafo,Mathias Hospital,Hospital,MoH,Combination,8.2157,-0.6771,-0.6551,8.22936,both,c(-0.655099999832264,8.22935999961401),GHH00140,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP002001000000000000,GHP002,140,Mathias Hospital,yeji,103,Pru,-1,-1,Mathias Hospital,-0.6551,8.22936,c(-0.655099999832264  8.22935999961401),BONO EAST,PRU WEST,,1836,no,0
197,Kumasi South Government Regional Hospital,Methodist Faith Healing District Hospital,0.198841,Methodist Faith Healing District Hospital,Meth.Faith Hosp.,Ashanti,Methodist Faith Healing District Hospital,District Hospital,FBO,GPS,6.84819,-1.54934,-1.54934,6.84819,both,c(-1.54934000030857,6.84818999988032),GHH00256,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011005000000000000,GHP011,256,Meth.Faith Hosp.,Ankaase,6,Afigya-Sekyere,-1,-1,Methodist Faith Healing District Hospital,-1.54934,6.84819,c(-1.54934000030857  6.84818999988032),ASHANTI,KWABRE EAST,,1487,no,0
215,Kumasi South Government Regional Hospital,New Abirem District Hospital,0.667413,New Abirem District Hospital,NA,Eastern,New Abirem District Hospital,District Hospital,MoH,GPS,6.33577,-0.99725,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Abirem District Hospital,-0.99725,6.33577,c(-0.99725 6.33577),EASTERN,BIRIM NORTH,New Abirem,2663,no,0
216,Kumasi South Government Regional Hospital,New Edubiase District Hospital,0.627998,New Edubiase District Hospital,New Edubiase Gov. Hosp.,Ashanti,New Edubiase District Hospital,District Hospital,MoH,GPS,6.05456,-1.39281,-1.39281,6.05456,both,c(-1.3928100002535,6.05456000036778),GHH00241,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011021000000000000,GHP011,241,New Edubiase Gov. Hosp.,New Adubiase,5,Adansi South,-1,-1,New Edubiase District Hospital,-1.39281,6.05456,c(-1.3928100002535  6.05456000036778),ASHANTI,ADANSI SOUTH,,1696,no,0
221,Kumasi South Government Regional Hospital,Nkawie/Toase Hospital,0.226571,Nkawie/Toase Hospital,Nkawie-Toase Hosp.,Ashanti,Nkawie/Toase Hospital,Hospital,MoH,Combination,6.66632,-1.812262,-1.81095,6.66477,both,c(-1.81095000043048,6.66477000017213),GHH00317,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011012000000000000,GHP011,317,Nkawie-Toase Hosp.,Nkawie,34,Atwima-Nwabiagya,-1,-1,Nkawie/Toase Hospital,-1.81095,6.66477,c(-1.81095000043048  6.66477000017213),ASHANTI,ASANTE AKIM NORTH,,1622,no,0
232,Kumasi South Government Regional Hospital,Nyinahin Government District Hospital,0.527786,Nyinahin Government District Hospital,Nyinahin Govt. Hosp.,Ashanti,Nyinahin Government District Hospital,District Hospital,MoH,GPS,6.60115,-2.10999,-2.10999,6.60115,both,c(-2.10999000018956,6.60115000008263),GHH00349,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011020000000000000,GHP011,349,Nyinahin Govt. Hosp.,Nyinahin,33,Atwima-Mponua,-1,-1,Nyinahin Government District Hospital,-2.10999,6.60115,c(-2.10999000018956  6.60115000008263),ASHANTI,ATWIMA MPONUA,Nyinahin,1612,no,0
233,Kumasi South Government Regional Hospital,Obuasi Government Hospital,0.460103,Obuasi Government Hospital,OBUASI GOV'T. HOSPITAL,Ashanti,Obuasi Government Hospital,Hospital,MoH,Google Earth,6.203494,-1.684858,-1.68419,6.2033,both,c(-1.68419000000788,6.20330000025557),GHH00436,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011014000000000000,GHP011,436,OBUASI GOV'T. HOSPITAL,OBUASI,4,Adansi North,-1,-1,Obuasi Government Hospital,-1.68419,6.2033,c(-1.68419000000788  6.20330000025557),ASHANTI,OBUASI MUNICIPAL,Gauso,1669,no,0
235,Kumasi South Government Regional Hospital,Onwe SDA Hospital,0.0511204,Onwe SDA Hospital,NA,Ashanti,Onwe SDA Hospital,Hospital,FBO,GPS,6.68001,-1.54161,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onwe SDA Hospital,-1.54161,6.68001,c(-1.54161 6.68001),ASHANTI,KUMASI METROPOLITAN,,2449,no,0
276,Kumasi South Government Regional Hospital,Asamang SDA Hospital,0.407678,Asamang SDA Hospital,SDA Hosp.,Ashanti,Asamang SDA Hospital,Hospital,FBO,GPS,7.05322,-1.50964,-1.5096,7.05322,both,c(-1.50959999998628,7.0532199996841),GHH00328,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011013000000000000,GHP011,328,SDA Hosp.,Weimoase,84,Kwabre,-1,-1,Asamang SDA Hospital,-1.5096,7.05322,c(-1.50959999998628  7.0532199996841),ASHANTI,SEKYERE SOUTH,,1527,no,0
277,Kumasi South Government Regional Hospital,Wiamoase SDA Hospital,0.292425,Wiamoase SDA Hospital,SDA Hosp.,Ashanti,Wiamoase SDA Hospital,Hospital,FBO,GPS,6.90258,-1.43311,-1.43311,6.90258,both,c(-1.43311000044244,6.90258000030568),GHH00326,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011013000000000000,GHP011,326,SDA Hosp.,Asamang,84,Kwabre,-1,-1,Wiamoase SDA Hospital,-1.43311,6.90258,c(-1.43311000044244  6.90258000030568),ASHANTI,SEKYERE SOUTH,,1528,no,0
279,Kumasi South Government Regional Hospital,Sefwi Wiawso District Hospital,1.01304,Sefwi Wiawso District Hospital,SEFWI WIAWSO  GOV'T  HOSPITAL,Western,Sefwi Wiawso District Hospital,District Hospital,MoH,GPS,6.20632,-2.49419,-2.49419,6.20632,both,c(-2.49418999962564,6.20631999959644),GHH01805,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Regional Hospital,Hospital and Teaching Hospital,GHP010005000000000000,GHP010,1805,SEFWI WIAWSO  GOV'T  HOSPITAL,SEFWI WIAWSO,107,Sefwi-Wiawso,-1,-1,Sefwi Wiawso District Hospital,-2.49419,6.20632,c(-2.49418999962564  6.20631999959644),WESTERN NORTH,SEFWI-WIAWSO,,1078,no,0
280,Kumasi South Government Regional Hospital,Sene District Hospital,1.40404,Sene District Hospital,Sene District Hospital,Brong Ahafo,Sene District Hospital,District Hospital,MoH,GPS,7.73115,-0.68588,-0.68588,7.73115,both,c(-0.685879999593152,7.73115000021922),GHH00134,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP002009000000000000,GHP002,134,Sene District Hospital,kwame danso,110,Sene,-1,-1,Sene District Hospital,-0.68588,7.73115,c(-0.685879999593152  7.73115000021922),BONO EAST,SENE WEST,Kwame Danso,1764,no,0
287,Kumasi South Government Regional Hospital,St. Martin's  Hospital,0.381183,St. Martin's  Hospital,St Martins hosp,Ashanti,St. Martin's  Hospital,Hospital,FBO,GPS,6.41337,-1.88154,-1.88154,6.41337,both,c(-1.88153999993555,6.4133699999628),GHH00351,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011007000000000000,GHP011,351,St Martins hosp,Agroyesum,18,Amansie West,-1,-1,St. Martin's  Hospital,-1.88154,6.41337,c(-1.88153999993555  6.4133699999628),ASHANTI,AMANSIE WEST,,1637,no,0
292,Kumasi South Government Regional Hospital,St. Peters' Hospital,0.319893,St. Peters' Hospital,St Peters Hosp,Ashanti,St. Peters' Hospital,Hospital,FBO,GPS,6.34331,-1.66669,-1.66669,6.34331,both,c(-1.666689999908,6.34330999990066),GHH00271,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011019000000000000,GHP011,271,St Peters Hosp,Jacobu,16,Amansie Central,-1,-1,St. Peter's Catholic Hospital,-1.66669,6.34331,c(-1.666689999908  6.34330999990066),ASHANTI,AMANSIE CENTRAL,Jacobu,1655,no,0
299,Kumasi South Government Regional Hospital,St. Luke Hospital Kasei,0.918473,St. Luke Hospital Kasei,NA,Ashanti,St. Luke Hospital Kasei,Hospital,FBO,GPS,7.53953,-1.34637,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Luke Hospital Kasei,-1.34637,7.53953,c(-1.34637 7.53953),ASHANTI,EJURA-SEKYEDUMASE,,2454,no,0
300,Kumasi South Government Regional Hospital,St. Mark Hospital,0.714925,NA,St. Mark Hospital,NA,NA,NA,NA,NA,NA,NA,-1.79029,5.96779,fac,c(-1.79029000024892,5.96779000023307),GHH00637,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP003003000000000000,GHP003,637,St. Mark Hospital,Dunkwa on Offin,127,Upper Denkyira,-1,-1,St. Mark Hospital,-1.79029,5.96779,c(-1.79029000024892  5.96779000023307),CENTRAL,UPPER DENKYIRA EAST MUNICIPAL,,1222,no,0
302,Kumasi South Government Regional Hospital,St. Micheal Hospital,0.118394,St. Micheal Hospital,St. Michael Hospital,Ashanti,St. Micheal Hospital,Hospital,FBO,GPS,6.55872,-1.51247,-1.51247,6.55872,both,c(-1.51246999963976,6.55872000006654),GHH00383,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011010000000000000,GHP011,383,St. Michael Hospital,Pramso,46,Bosomtwe-Atwima-Kwanwoma,-1,-1,St. Micheal Hospital,-1.51247,6.55872,c(-1.51246999963976  6.55872000006654),ASHANTI,BOSOMTWE,,1469,no,0
304,Kumasi South Government Regional Hospital,St. Patricks Hospital,0.295207,St. Patricks Hospital,ST. PATRICKS HOSP.,Ashanti,St. Patricks Hospital,Hospital,FBO,GPS,6.93135,-1.68167,-1.68167,6.93135,both,c(-1.68167000015878,6.93135000001567),GHH00424,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011015000000000000,GHP011,424,ST. PATRICKS HOSP.,OFFINSO,102,Offinso,-1,-1,St. Patricks Hospital,-1.68167,6.93135,c(-1.68167000015878  6.93135000001567),ASHANTI,OFFINSO MUNICIPAL,,1552,no,0
309,Kumasi South Government Regional Hospital,ST.JUDE HOSPITAL LIMITED,0.457144,NA,ST.JUDE HOSPITAL LIMITED,NA,NA,NA,NA,NA,NA,NA,-1.68814,6.20723,fac,c(-1.68814000010999,6.20723000009699),GHH00432,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011014000000000000,GHP011,432,ST.JUDE HOSPITAL LIMITED,BEDIESO - OBUASI,4,Adansi North,-1,-1,ST.JUDE HOSPITAL LIMITED,-1.68814,6.20723,c(-1.68814000010999  6.20723000009699),ASHANTI,OBUASI MUNICIPAL,,1671,no,0
313,Kumasi South Government Regional Hospital,Suntreso Government Hospital,0.0761546,Suntreso Government Hospital,NA,Ashanti,Suntreso Government Hospital,Hospital,MoH,GPS,6.70243,-1.64223,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suntreso Government Hospital,-1.64223,6.70243,c(-1.64223 6.70243),ASHANTI,KUMASI METROPOLITAN,,2457,no,0
317,Kumasi South Government Regional Hospital,Tafo Government Hospital,0.0783702,Tafo Government Hospital,NA,Ashanti,Tafo Government Hospital,Hospital,MoH,GPS,6.72554,-1.61317,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tafo Government Hospital,-1.61317,6.72554,c(-1.61317 6.72554),ASHANTI,OLD TAFO MUNICIPAL,Tafo Nhyiaeso,2458,no,0
348,Kumasi South Government Regional Hospital,West phalian Hosp Complex,0.290091,NA,West phalian Hosp Complex,NA,NA,NA,NA,NA,NA,NA,-1.39049,6.868,fac,c(-1.39049000042095,6.86800000034401),GHH00282,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011003000000000000,GHP011,282,West phalian Hosp Complex,Oyoko,108,Sekyere East,-1,-1,West phalian Hosp Complex,-1.39049,6.868,c(-1.39049000042095  6.86800000034401),ASHANTI,SEKYERE EAST,,1555,no,0
349,Kumasi South Government Regional Hospital,Wiawso Government Hospital,1.00073,Wiawso Government Hospital,NA,Western,Wiawso Government Hospital,Hospital,MoH,Google Earth,6.215862,-2.485146,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wiawso Government Hospital,-2.485146,6.215862,c(-2.485146 6.215862),WESTERN NORTH,SEFWI-WIAWSO,Wiawso,3067,no,0
2,Sunyani Regional Hospital,3 M.R.S Liberation Barracks,0.0197933,NA,3 M.R.S Liberation Barracks,NA,NA,NA,NA,NA,NA,NA,-2.2946,7.34184,fac,c(-2.29460000023136,7.34184000027414),GHH00029,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP002013000000000000,GHP002,29,3 M.R.S Liberation Barracks,sunyani,117,Sunyani,-1,-1,3 M.R.S Liberation Barracks,-2.2946,7.34184,c(-2.29460000023136  7.34184000027414),BONO,SUNYANI MUNICIPAL,,1775,no,0
17,Sunyani Regional Hospital,Ahmaddiya Moslem Hospital,0.452364,NA,Ahmaddiya Moslem Hospital,NA,NA,NA,NA,NA,NA,NA,-1.9317,7.58611,fac,c(-1.93170000031111,7.58611000021467),GHH00094,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP002006000000000000,GHP002,94,Ahmaddiya Moslem Hospital,techiman,123,Techiman,-1,-1,Ahmaddiya Moslem Hospital,-1.9317,7.58611,c(-1.93170000031111  7.58611000021467),BONO EAST,TECHIMAN MUNICIPAL,,1801,no,0
22,Sunyani Regional Hospital,Ahmadiyya Muslim Hospital 2,0.508935,Ahmadiyya Muslim Hospital,NA,Brong Ahafo,Ahmadiyya Muslim Hospital,Hospital,FBO,Other,6.902987,-2.567168,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ahmadiyya Muslim Hospital 2,-2.567168,6.902987,c(-2.567168 6.902987),AHAFO,ASUNAFO NORTH MUNICIPAL,,1863,no,0
54,Sunyani Regional Hospital,Bechem Government District Hospital,0.383087,Bechem Government District Hospital,Bechem Gov't Hospital,Brong Ahafo,Bechem Government District Hospital,District Hospital,MoH,GPS,7.08831,-2.02947,-2.02947,7.08831,both,c(-2.02947000017766,7.08830999972233),GHH00033,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP002010000000000000,GHP002,33,Bechem Gov't Hospital,bechem,122,Tano South,-1,-1,Bechem Government District Hospital,-2.02947,7.08831,c(-2.02947000017766  7.08830999972233),AHAFO,TANO SOUTH MUNICIPAL,Bechem,1921,no,0
68,Sunyani Regional Hospital,Bre Nye Kwa Hospital,0.296131,Bre Nye Kwa Hospital,Brenyekwa Hospital,Brong Ahafo,Bre Nye Kwa Hospital,Hospital,MoH,GPS,7.44372,-2.59325,-2.59325,7.44372,both,c(-2.59325000000307,7.44372000022358),GHH00165,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP002012000000000000,GHP002,165,Brenyekwa Hospital,berekum,38,Berekum,-1,-1,Bre Nye Kwa Hospital,-2.59325,7.44372,c(-2.59325000000307  7.44372000022358),BONO,BEREKUM EAST MUNICIPAL,,1718,no,0
85,Sunyani Regional Hospital,Tepa District Hospital,0.377423,Tepa District Hospital,Dist. Hosp,Ashanti,Tepa District Hospital,District Hospital,MoH,GPS,6.99966,-2.16102,-2.16102,6.99966,both,c(-2.16102000005319,6.99965999965504),GHH00260,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011011000000000000,GHP011,260,Dist. Hosp,Tepa Dist. Hosp,9,Ahafo-Ano North,-1,-1,Tepa District Hospital,-2.16102,6.99966,c(-2.16102000005319  6.99965999965504),ASHANTI,AHAFO ANO NORTH,Tepa,1586,no,0
94,Sunyani Regional Hospital,Dormaa Presby District Hospital,0.55814,Dormaa Presby District Hospital,Dormaa Presby Hospital,Brong Ahafo,Dormaa Presby District Hospital,District Hospital,MoH,GPS,7.27537,-2.86803,-2.86803,7.27537,both,c(-2.86803000018115,7.2753699995869),GHH00212,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP002003000000000000,GHP002,212,Dormaa Presby Hospital,dormaa,53,Dormaa,-1,-1,Dormaa Presby District Hospital,-2.86803,7.27537,c(-2.86803000018115  7.2753699995869),BONO,DORMAA MUNICIPAL,Dormaa Ahenkro,1733,no,0
101,Sunyani Regional Hospital,Emil Memorial Hospital,0.451838,Emil Memorial Hospital,Emil Mem. Hospital,Brong Ahafo,Emil Memorial Hospital,Hospital,MoH,GPS,7.73964,-2.09488,-2.09488,7.73964,both,c(-2.09488000024243,7.73963999966279),GHH00117,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP002005000000000000,GHP002,117,Emil Mem. Hospital,wenchi,132,Wenchi,-1,-1,Emil Memorial Hospital,-2.09488,7.73964,c(-2.09488000024243  7.73963999966279),BONO,WENCHI MUNICIPAL,,1906,no,0
121,Sunyani Regional Hospital,Goaso District Hospital,0.577508,Goaso District Hospital,Goaso Hospital,Brong Ahafo,Goaso District Hospital,District Hospital,MoH,Combination,6.8062,-2.52186,-2.52181,6.8057,both,c(-2.52181000020314,6.80570000040363),GHH00044,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Regional Hospital,Hospital and Teaching Hospital,GHP002008000000000000,GHP002,44,Goaso Hospital,goaso,27,Asunafo North,-1,-1,Goaso District Hospital,-2.52181,6.8057,c(-2.52181000020314  6.80570000040363),AHAFO,ASUNAFO NORTH MUNICIPAL,Goaso,1856,no,0
140,Sunyani Regional Hospital,Holy Fam. Hospital,0.291086,NA,Holy Fam. Hospital,NA,NA,NA,NA,NA,NA,NA,-2.58806,7.44325,fac,c(-2.58805999961875,7.4432500002502),GHH00154,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,District Hospital,Hospital and Teaching Hospital,GHP002012000000000000,GHP002,154,Holy Fam. Hospital,berekum,38,Berekum,-1,-1,Holy Fam. Hospital,-2.58806,7.44325,c(-2.58805999961875  7.4432500002502),BONO,BEREKUM EAST MUNICIPAL,Biadan,1732,no,0
141,Sunyani Regional Hospital,Holy Family Hospital,0.449018,Holy Family Hospital,Holy Family Hospital,Brong Ahafo,Holy Family Hospital,Hospital,FBO,GPS,7.59193,-1.93944,-1.93944,7.59193,both,c(-1.93943999978346,7.59192999981592),GHH00104,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Regional Hospital,Hospital and Teaching Hospital,GHP002006000000000000,GHP002,104,Holy Family Hospital,techiman,123,Techiman,-1,-1,Holy Family Hospital,-1.93944,7.59193,c(-1.93943999978346  7.59192999981592),BONO EAST,TECHIMAN MUNICIPAL,,1803,no,0
150,Sunyani Regional Hospital,Juaboso Government District Hospital,1.13433,Juaboso Government District Hospital,JUABESO  HOSPITAL,Western,Juaboso Government District Hospital,District Hospital,MoH,GPS,6.33418,-2.82972,-2.82972,6.33418,both,c(-2.82972000011192,6.33417999976828),GHH01874,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010002000000000000,GHP010,1874,JUABESO  HOSPITAL,JUABESO,72,Juabeso,-1,-1,Juaboso Government District Hospital,-2.82972,6.33418,c(-2.82972000011192  6.33417999976828),WESTERN NORTH,JUABOSO,Juaboso,1103,no,0
158,Sunyani Regional Hospital,Kintampo District Hospital,0.915893,Kintampo District Hospital,Kintampo District Hospital,Brong Ahafo,Kintampo District Hospital,District Hospital,MoH,GPS,8.05098,-1.7312,-1.7312,8.05098,both,c(-1.7312000003475,8.05098000003805),GHH00080,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP002007000000000000,GHP002,80,Kintampo District Hospital,kintampo,78,Kintampo North,-1,-1,Kintampo District Hospital,-1.7312,8.05098,c(-1.7312000003475  8.05098000003805),BONO EAST,KINTAMPO NORTH MUNICIPAL,Kintampo,1835,no,0
198,Sunyani Regional Hospital,Wencgi Methodist Hospital,0.443259,Wencgi Methodist Hospital,Methodist Hospital,Brong Ahafo,Wencgi Methodist Hospital,Hospital,FBO,GPS,7.73854,-2.111,-2.111,7.73854,both,c(-2.11100000031798,7.73853999996751),GHH00111,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP002005000000000000,GHP002,111,Methodist Hospital,wenchi,132,Wenchi,-1,-1,Wenchi Methodist Hospital,-2.111,7.73854,c(-2.11100000031798  7.73853999996751),BONO,WENCHI MUNICIPAL,Wenchi West,1907,no,0
222,Sunyani Regional Hospital,Nkenkasu District Hospital,0.412071,Nkenkasu District Hospital,NKENKASU DIST.HOSP.,Ashanti,Nkenkasu District Hospital,District Hospital,MoH,GPS,7.31957,-1.90289,-1.90289,7.31957,both,c(-1.90288999968009,7.31957000029367),GHH00423,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011015000000000000,GHP011,423,NKENKASU DIST.HOSP.,NKENKASU,102,Offinso,-1,-1,Nkenkasu District Hospital,-1.90289,7.31957,c(-1.90288999968009  7.31957000029367),ASHANTI,OFFINSO NORTH,Nkenkaasu,1542,no,0
236,Sunyani Regional Hospital,Opoku Agyeman Hospital,0.435874,Opoku Agyeman Hospital,Opoku Agyeman Hospital,Brong Ahafo,Opoku Agyeman Hospital,Hospital,MoH,GPS,7.56288,-1.93692,-1.93692,7.56288,both,c(-1.93691999993436,7.56288000030523),GHH00103,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP002006000000000000,GHP002,103,Opoku Agyeman Hospital,techiman,123,Techiman,-1,-1,Opoku Agyeman Hospital,-1.93692,7.56288,c(-1.93691999993436  7.56288000030523),BONO EAST,TECHIMAN MUNICIPAL,,1802,no,0
241,Sunyani Regional Hospital,Owusu Mem. Hospital,0.0279364,NA,Owusu Mem. Hospital,NA,NA,NA,NA,NA,NA,NA,-2.33564,7.32669,fac,c(-2.33564000021199,7.32669000040667),GHH00023,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP002013000000000000,GHP002,23,Owusu Mem. Hospital,sunyani,117,Sunyani,-1,-1,Owusu Mem. Hospital,-2.33564,7.32669,c(-2.33564000021199  7.32669000040667),BONO,SUNYANI MUNICIPAL,,1771,no,0
